gender;firstname;lastname;address;city;birthday
M;Frederique;Baillieux;Route de Mesnil, Heer 31;Rixensart;19970111
M;Marc;Bailly;rue Ainseveau 44;Olloy-sur-Viroin;19800714
M;Sam;Baio;rue de Vaucelles 24;Couvin;19951205
M;Jean-Frédéric;Bajrami;Chéé de Louvain 125;Namur;19840116
F;Claire;BAKHSH;rue des mésanges bleues 24;Nismes;19950827
F;Stephanie;Balandini;rue Adolphe goutier 35;Mariembourg;19991030
M;Noé;BALEUX;Rue de Nivelles 87;bouge;19951220
F;Cécile;Balleux;Rue St roch, 28;Namur;19960616
F;Michèle;Balthazar;Boulevard d'Herbatte121;vierves-sur-Viroin;19881019
M;Im;Barbier;rue des combattants, 156;Pesche;19950107
M;Yohan;Barbier;Rue Du Moulin 35;Bouge;19950730
F;Macha;Barbier;rue cheravoye 37;Gonrieux;19980409
M;Mozina;Barbosa de Suza;rue du bois d'Esneux 52;Lincent;19910224
F;Marine;BARBOSA-MOREIRA;rue Louis Delimoy 24;Petigny;19810520
F;Camille;Barkhuysen;Rue Arthur Joseph Piersotte(BU) 40;Houyet;19900728
F;Valérie;Barnay;rue courte, 2;Namur;19880719
F;Sandy;Barnich;rue de Vaucelles 9;Namur;19840818
F;Jeanne;Barras;rue Jules Theunis 28;Gesves;19881208
M;Joseph;Barthélemy;Rue Des Ramiers 38;Namur;19880923
M;Noé;Basiaux;Quartier des 3 chÛnes, 29;Namur;19901225
F;Nelly;Bastin;place St. Victor, 10;Eghezée;19790214
F;Francoise;Bastin;Rue de Gembloux(RH) 679;Couvin;19860402
F;Isabelle;Bastin;allée des 3 tilleuls, 2;Namur;19860823
M;Pascal;Bastin;allée des 3 tilleuls 2;Olloy-sur-Viroin;19860829
F;Marie;Bastin;rue de Cerfontaine 5;Nismes;19910924
F;Kelly;Bastin;place St Victor 10;Aische-en-Refail;19920110
F;Pauline;Bastin;Rue Du Parc St Roch, 34;Mettet;19960423
F;Nadia;Bastin;place St Victor, 13;Namur;19960520
M;William;Bastin;chemin du petit bois 287;Bruxelles 5;19980415
M;Nicolas;Baudaux;rue Pied de la Montagne, 5;Namur;19781009
M;Anthony;Baudaux;Rue Du Hestreux 5;Noville-sur-Méhaigne;19801111
F;Emilie;Baudelet;rue Paul Verbist 2;Br¹ly;19881129
M;Maxime;Baudhuin;rue St Joseph, 51;Namur;19780524
M;Kevin;Baudoin;Rue St Joseph, 51;Namur;19780513
F;Nathalie;Baudoin;Chaussée de Louvain(BU) 302;Forville;19830215
F;Laurane;Baudoin;rue du centenaire, 35;Namur;19831207
F;Anne;Baudouin;94, rue du Herdal;Petigny;19870107
M;Vincent;Baudour;rue de Starigrad 11;Jumet;19930220
M;Vladimir;Baudoux;Route de Hannut(BU) 89;Namur;19811229
F;Emilie;Baudoux;Avenue du Bon Air(VD) 63;Couvin;19960603
F;Amandine;Bauduin;résidence Emile Donnay, 209;Namur;19790612
M;Romain;Bauduin;route des monts, 69;Boninne;19801122
M;Quentin;Bauduin;résidence Emile Donnay 109;Namur;19860925
F;Anne;Bauduin;Rue Du Jeu De Balle 126 1/6;Namur;19961029
M;Jean-Baudouin;Bauduin;résidence E. Donnay, 411;Namur;19991026
F;Patricia;Baugnée;rue de Gonrieux 11;Faulx-les-Tombes;19890802
M;Peter;BAUGNET;Rue de l'Echangeur(DX) 110;Vedrin;19990406
F;Anne;BAUKENS;Rue de Tillier, March. 2;Jambes;19940331
F;Isabelle;Baussart;rue Ainseveau 44;Couvin;19810701
F;Patricia;Bavré;Rue du Cahoti 25;Bouge;19920313
M;Loic;Bayet;Rue De Vierves 12;Faulx-les-Tombes;19810922
F;Nicole;Bayonnet;rue des ramiers, 49;Nismes;19781119
M;Monique;Bayot;rue des bergeries 21;Eghezée;19860404
F;Christelle;BEAUFAYS;Rue Joseph Wanet(VD) 143;Pesche;19840515
M;Kilian;Beaufays;rue haie bois mars, 6;Houyet;19850113
F;Sundy;Beaufays;rue Georges Davreux 23;Namur;19910502
F;Isabelle;Beddar;rue des calvaires 14;Agimont;19990429
M;Gauthier;Beeckman;Rue Du Herdeau 52;Bruly;19800329
F;Natacha;Beguin;rue Guyaux 16;Treignes;19850424
M;Laurent;Beka;chaussée de Perwez 273;Namur;19820422
F;Marianne;Bekai;Rue Grande 26;Oignies-en-Thiérache;19931003
F;Christiane;Bela;boulevard de Merckem 63;Couvin;19970927
F;Anne;Belin;rue caillou d'eau 129;Flawinne;19860811
M;Baudouin;Belin;rue des mésanges, 49;Namur;19870512
F;Marine;Belja;rue St Nicolas 187;Morville;19840512
F;Mina;Belja;chaussée de Louvain 575;Namur;19860727
M;Nicolas;Bellaire;Rue du Sanctuaire(BU) 53;Bouge;19860701
F;Pascale;Belleflamme;rue du hamia 8;bouge;19910405
M;Simon;Bellekens;rue de la pÛcherie 17;Namur;19900409
M;Didier;Belluzzo;rue francois Bovesse,75;bouge;19981209
M;Leonardo;Belot;rue de la pépinière 43;Arsimont;19830915
F;Martine;Belot;;Namur;19910115
F;Catherine;Belot;Rue Alphonse Jaumain 51;Andenne;19991215
F;Chloe;Benlafquih;Chemin des Aides(BU) 6;Couvin;19950331
F;Monique;Bentein;Chaussée de Louvain(CG) 1077;Chimay;20000614
M;Henry;Berg;Sur Les Ternes 57;Namur;19900125
F;Jeanne;Berger;Rue De La Chavée 52;Mariembourg;19931216
M;Kevin;Bernaerdt;rue du Herdeau 35;Olloy-sur-Viroin;19800801
M;Jean;Bernard;ruedu gouffia 12;Vedrin;19820215
M;Jean-Paul;Bernard;rue Charlemont 5;Longchamps (Nam.);19850320
M;CYPRIEN;Beroudiaux;Rue De La Ville 4;Eghezée;19790626
F;Maryline;Berten;rue Marcelmoreau 24;Namur;19870303
F;Anne-Françoise;Bertho;Rue Charles Bouvier(BU) 112;Namur;19891009
F;Virginie;Bertholet;rue fontaine du roi 110;Fleurus;19790809
M;Pascal;Bertrand;rue de la marcelle 66;Perwez;19830428
M;Christophe;Bertrand;rue des arzières 3;Nismes;19841217
M;Roberto;Bertrand;résidence E. Donnay 204;Bouge;19870827
M;Philippe;Bertrand;rue des carrières, 24;Lamalle;19930128
F;Valérie;Besson;12, Rue Des Boutons D'Or;Couvin;19800922
M;Thomas;Biard;rue autre côté de l'eau, 9;Emines;19790318
M;Jerome;Biason;Rue du Sart-Helman, F.-W. 22;Jambes;19930221
M;Maxime;Bielande;rue haut cortil, 7;Vedrin;19830316
F;Valérie;Bienfait;Rue Père Cambier 19;Florennes;19890412
F;Nadine;Bierna;Avenue des Combattants 25;Bierwart;19830629
M;Fabien;Biette;chaussée de Louvain 367;Couvin;19801218
F;Violaine;Bigot;rue du calvaire 29;Graide;19880911
F;Mélanie;Binet;rue haute Nimelette 97;Froidchapelle;19861103
F;Lola;Binon;Rue des Ecoles, V.-lez-Heest 6;Namur;19791218
M;Jean -Baptiste;Binot;ch.de Louvain 229;Eghezée;19950224
F;Dominique;Biron;Rue Basse Cornet 19;Hastière;19830328
M;Olivier;Biron;rue de Bruly 53;Couvin;19891119
M;Michail;Bizet;rue Ste rita 30;Dave;19881018
M;Bastien;Blavier;rue du camp 42;Flawinne;19800205
M;Cédric;Blay;rue Sergent Delize 7;Olloy-sur-Viroin;19990621
F;Jennifer;Blondiau;Allée de la taille des rys, 34;Namur;19860318
M;Bertrand;Blot;86, rue Delhove;Bruly de Pesche;19810815
M;Johnny;Blum;Rue du Grand Feu(BU) 23;Namur;19840523
M;Michel;Bobot;res e donnay 12;Vedrin;19881227
M;Jean-Louis;Bocart;Rue du Deuxième Chasseurs(BL) 5 /00;Mazée;19920619
F;Léa;Bodart;rue de Sardanson 13 bte 28;Autre-Eglise;19800304
M;Thomas;Bodart;54 rue Fond de Champion;Namur;19841018
F;Aurélie;Bodart;rue St Roch, 15;Bouge;19910903
M;Serge;Bodet;rue du Herdeau 57;Namur;19880814
M;Martin;Bodson;Rue de la Marjolaine(JB) 25;Bouge;19861015
M;Yacine;Bofuzzi;Rue Florimond Bidron(VD) 80;Olloy-sur-Viroin;19840218
M;Thierry;Boidequin;rue de Fumay 94;Namur;19910411
M;Joël;Boidron;Avenue Arthur Procès 8;Namur;19820401
F;Monique;BOLAND;Chemin du Bois de Gazia(SS) 47;Br¹ly-de-Pesche;19891030
F;Elodie;Bonaert;rue Sergent Delisse 32;Bouge;19900627
M;Julien;Bondarenko;boulevard d'herbatte 33;Namur;19920615
M;Aurelien;Boreux;rue de la pépinière 26;Couvin;19790215
F;Ariane;BORTOLINI;Avenue Baudouin Premier(BU) 47;Namur;19801022
F;Florence;Bossier;allée des sapins, 26;Saint-Servais;19820110
M;Lucas;Bossuyt;Rue Saint-Nicolas 33;Thon;19930829
F;Michelle;Bothma;Rue Charles Bouvier(BU) 26 /0011;Dourbes;19801124
F;Anne-Véronique;Bothy;33, Aux Trois boniers;Eghezée;19810121
F;Gwenaelle;Bouchat;Rue du Porson(BZ) 61;Nismes;19960711
M;Olivier;Bouche;rue de la Mesnil 51;Couvin;19870116
M;Gauthier;Boucher;ch. de Louvain, 427;Couvin;19820630
F;Kathleen;Boucher;Rue D'Ostin 3;Bailièvre;19850116
F;Zora;Boucher;Rue Royale, Emines 18;Namur;19850603
F;Lisa;Boucher;Rue de Labie,Leuze 73;Namur;19910327
F;Nel;Boucher;tienne Maquet 25;Nismes;19970623
F;Jeanne;Boucher;Rue Arthur Joseph Piersotte(BU) 34;Namur;20000314
F;Isabelle;Boudsocq;rue St Luc 10;Namur;19921228
M;Arvin;Bouffioux;Place des Combattants 13;Velaine-sur-Sambre;19840507
M;Antoine;Bougelet;Rue Petit 1;Petigny;19871109
M;Michel;Bouillon;rue neuve , 20;Boussu-en-Fagne;19800111
F;Fatine;Boulet;résidence E Donnay,307;Jambes;19870611
M;Pierre;Boulet;résidence Emile Donnay238;Dourbes;19881222
M;Romain;Bourdon;résidence Montbard 37;Vierves-sur-Viroin;19791124
M;Remy;Bourdoux;Rue Des Aubépines 43;Namur;19920220
M;Pierre-Yves;BOURGEOIS;rue des bégognias 81;Bouge;19871213
F;Chloé;Bourgeois;Route Des Six Frères 35;Saint-Marc;19911022
F;VERONIQUE;Bourguignon;Rue grande, 105;Couvin;19930424
M;Pascal;Bourlard;rue A Brasseur 46;Couvin;19861126
M;Vincent;Bourtembourg;Rue Du Grand Feu 104/7;Namur;19900614
M;Gabriel;Bourtembourg;Avenue Baudouin Premier(BU) 38;Namur;19900814
M;William;Bousmanne;rue delvaux 9;Petigny;19940705
F;Micheline;Boutry;Rue des Etanches, Nov. 23;Saint-Servais;19950721
F;Anais;Boutte;route du pont pavot 38;Pesche;19841202
M;Xavier;Bouvier;Rue Ernest Deprez(BU) 2;Namur;19821104
F;Véronique;Bouvier;allée du moulin Ó vent 47;Namur;19870830
M;Antoine;Bouvy;rue trou maillard, 10;Champion;19931014
M;Denis;Bouzin;Rue D'En Haut 15;Bouge;19840525
M;Gilles;Bouzin;rue St rock 5;Couvin;19850820
M;Pierre;Brasseur;rue du Bucq 1;Namur;19790110
F;Christine;Brasseur;Rue Neuve 35;Bouge;19800924
M;Laurent;Brasseur;363 chaussée de Louvain;Antwerpen 6;19850310
F;Estelle;Brasseur;Rue Neuve 46;Andenne;19951212
M;Jean;Brassinne;Rue de Winée,Leuze 8;Namur;19970107
F;Michelle;Briac;Avenue Baudouin Premier(BU) 31;Namur;19810509
M;Ernest;BRIAC;rue Sardanson 77;Mazée;19900105
F;Paul;Briac;Avenue Baudouin Premier(BU) 31;Vedrin;19961207
M;Frederic;Brilmaker;Rue Joseph Warègne(FW) 55;Eghezée;19940221
M;Jean-Pierre;BRILOT;;Namur;19851127
F;Joelle;Briot;Rue de l'Institut(BU) 51;Namur;19810715
F;ADELE;Briot;rue des balsamines 13;Saint-Servais;19980504
M;Patrice;Briquet;Rue De La Loresse 3;Olloy-sur-Viroin;19780609
F;Laurence;Briquet;Rue De La Loresse 6;Petigny;19830809
M;Martial;Briquet;rue des différents, 5;Eghezée;19920605
M;Nicolas;Brisbois;Avenue Arthur Procès;Belgrade;19810409
M;Franco;Brisbois;Rue Du Chauffour 17;Namur;19930614
M;Clément;Brisbois;rue Ernest Deprez, 20;Gimnée;19951123
M;Gregoire;Brognon;Rue de Nivelles 87;Ste Clothilde;19940407
M;Joao;Bronchain;Rue Louis Delimoy(BU) 16;Mariembourg;19910104
M;Adrian;Brootcoorens;5, Rue De vitry;Saint-Servais;19901113
M;Enrique;Broquelaire;Rue Grande 62;Namur;19790315
F;Benoit;Brouwaeys;parc résidentiel 60;Dave;19780916
F;Béatrice;Brunebarbe;résidence e. Donnay, 515;Boussu-en-Fagne;19790120
F;Joy;Brunet;rue St Roch 30;Andenne;19890130
M;Florent;Bua;Rue Patenier 34;Vierves-sur-Viroin;19820904
M;Adrien;Buchet;rue du Tchafour 7;Floreffe;19870212
F;Nancy;Buelen;Rue de Fernelmont(CH) 112;Olloy-sur-Viroin;19860207
F;Ann;Bulon;rue muzet 26;Namur;19791212
M;Ricardo;Bulon;Rue de l'Institut(BU) 51;Bourlers;19810923
M;Charles;BUOL;clos des cerisiers 12;Houyet;19800730
M;Thomas;Burnick;chaussée de Louvain 310;Namur;19830111
F;Fernande;Burny;rue roche Albéric 9;Eghezée;19921221
M;Bernard;Burton;Rue Des Sarazins21;Oignies-en-Thiérache;19910120
M;Hubert;Busard;rue auguste Lebrun, 68;Andenne;19880411
M;Martin;Cabaraux;rue Ainseveau 44/18;Mons;19790520
M;Benoit;Cabu;Rue Martin Lejeune(VD) 56;Namur;19910508
F;Cassandre;Cabu;rue de Gembloux 324;Fernelmont;19970710
F;Laurence;Callens;rue St Joseph, 28;Namur;19900715
M;Ugo;Calmant;rue du centenaire, 10;Couvin;19780826
M;Maxime;Cambier;Rue Notre-Dame 69;Franière;19840918
M;Eric;Cammaerts;rue du sanctuaire, 7;Bouge;19891221
M;Benoit;Cammaerts;rue vigneron collin 27;La Bruyère;19930818
F;Séverine;Camu;Rue Cherreux 2;Namur;19880621
M;Joelle;Capelle;Avenue Du Bois L'Eveque,13;Namur;19930712
M;Florian;Capelle;rue ry des fonds 3;Nismes;19990721
M;Sébastien;Capron;rue du sanctuaire, 54;Vedrin;19790130
M;Thibaut;Capron;71, Rue De La Fontaine;Namur;19851028
M;Francis;Cardron;rue cdt Alliot, 3;Namur;19850413
M;Adrien;Carlier;grand rue 61;Namur;19780609
F;Anne;Carlier;cité E. Donnay, 321;Vierves-sur-Viroin;19800411
M;Noa;Carlier;rue Paquet 7;Mariembourg;19820421
M;André;Carlier;Rue Du Herdal;Jambes (Namur);19820927
F;Azize;carlier;;Namur;19890427
M;Théophane;Carlier;rue de la foulerie 35;Namur;19901017
F;Pascale;Carlier;rue de la gare, 87;Aublain;19921227
M;Bastien;Caroy;chaussée de Louvain475;Bouge;20000210
F;Anne-Sophie;Carpentier;rue des ramiers, 20;Bouge;19890902
F;Marie-Laure;Carretta;rue du Fort D'Andoy;Mesnil-Saint-Blaise;19900516
F;Jessica;CARTIAUX;rue Guyaux 26;Namur;19830430
F;Anka;Cartiaux;route de Charlemagne, 4;Nismes;19901025
F;Catherine;Caruso;Rue Van Gricken 13;Bourlers;19871223
M;Gabin;Caspar;rue des comognes 6;Suarlée;19881118
M;Charles;Catinus;Place De Bossiere, 33;Bouge;19980813
F;Frida;Catoul;rue Riverre 30;Vedrin;19970618
M;Frank;Cattelain;Rue de la Cointe(SM) 43 /B000;Cul-des-Sarts;19940709
M;Daniel;Caudron;Rue Pravée 28;Frasnes (Nam.);19910610
F;France;Cavalier;Chaussée de Louvain(BU) 302;Mariembourg;19830302
M;Christophe;Cavier;route de Charlemagne, 9;Namur;19890322
F;Linda;Cerqueira;rue St Joseph 96;Petigny;19810118
F;Tamara;CERUTTI;Bois des Chevreuils 54 /B000;Namur;19980522
M;Ramadan;Chabot;rue St Eloi 16;Namur;19780625
M;Axel;Chabot;Rue Mazy(JB) 125;Namur;19800804
F;Annick;Challe;rue de Bovesse 53;Nismes;19810424
F;Mélanie;Champagnac;Rue Alfred Brasseur(VD) 82;Namur;19910902
M;Serge;Champagne;rue grande, 118;Br¹ly;19791112
F;Ghita;Champagne;rue d'Olloy, 2;Jambes;19861101
F;Camille;Champagne;Rue Saint-Luc(BU) 45;Baillonville;19871103
M;Guy;Champagne;Rue St Roch 89;Bouge;19880511
F;Marie-Noelle;Chanet;Rue de Huy 27;bouge;19930714
M;Etienne;Chantraine;Avenue du Parc(BU) 19;FRASnes;19910918
M;Théo;Chantrenne;Rue Grande 25;Winenne;19791203
M;Pierre;Chappin;rue du grand feu 112;Malonne;19830921
F;Delphine;Chardon;Rue des Ramiers(BU) 54;Olloy-sur-Viroin;19830817
M;Pierre-Michel;Charles;153,rue du Bran Sart;Namur;19920119
F;Catherine;Charlier;Route de Perwez 9;Namur;19780510
F;Laurence;Charlier;rue Ste Barbe 8;Fernelmont;19810617
M;Laurent;Charlier;chaussée de Fagnolle, 46;Namur;19830327
M;Simon;Charlier;Montagne d'Hastedon 45;Villers-lez-Heest;19830526
F;Bénédicte;Charlier;rue des Juifs,;Longchamps;19870709
M;Vincent;Charlier;rue de Fagnolle, 44;Andenne;19950306
F;Edith;Chartier;rue de la platinerie, 20;Namur;19800824
M;Johan;Chatel;Rue Kefer(JB) 24 /0014;Boussu-en-Fagne;19820202
F;Dominique;Chavet;rue Pierre Bosseau, 12;Champion;19790513
F;Isabelle;Chavet;rue de la marcelle 110;Namur;19860317
M;Eric;Chen;Rue de l'Epine, Champlon 22;Namur;19960629
M;Laurent;Cheramy;Chemin De Senzeilles 4;Namur;19880314
M;Cédric;Chevalier;rue de Gramptinne 11;Gesves;19861116
F;Gabrielle;Chu;Rue des Cognassiers(VD) 25;Namur;19930622
F;Véronique;Ciftci;rue de Fumay, 39;;19870902
M;Daniel;Ciftci;rue de Fumay 39;Namur;19890905
F;Adrienne;Cirlande;rue de sbéguines 52;Andenne;19800727
M;Daniel;Citta;21? rue de Coquelet;Vezin;19841118
M;Ivan;Claes;rue du Bailli 9;Eghezée;19901222
F;Christelle;Clamot;2 rue batailon des Canaris;Moustier-sur-Sambre;19790306
M;Michel;Clarinval;rue de Vaucelles 26;Matagne-la-Grande;19810206
F;Adrien;Claudisse;rue du faubourg, 24;Namur;19820320
M;Maxime;Clercq;Rue Sergent Delisse(BU) 13;Le Mesnil;19851205
F;Mélanie;Cloet;rue Sainte Rita 69 /3;Namur;19831127
M;Nolan;Closset;chaussée de Louvain 625;Namur;19811001
M;Frédéric;Cnockaert;chemin du paradis 1A;Agimont;19880621
M;Roland;Coclet;rue Orgeveau 3;Fernelmont;19780717
F;Manon;Coclet;rue de la station 63;Bouge;19951206
M;Fi;Coene;rue St Joseph 43;Vierves-sur-Viroin;19840722
F;Violine;Coesens;rue de la terre blanche 139;Namur;19810120
M;Mathys;Coisne;basse chausée 177;Bouge;19890824
F;Marina;Colas;Rue du Sanctuaire(BU) 53;Sorinnes;19841201
F;Isabelle;Colassin;rue des colonies 26;Hamois;19920413
M;Edgard;Colembie;Rue Auguste Seressia 290 /D000;Hingeon;19940531
M;Raoul;Colemons;rue du pont, 172, bte 1;Couvin;19911204
M;Vincenzo;Colignon;;Namur;19840623
M;Loic;Colin;Rue Fernand Hanchir(BU) 5;Viroinval;19790727
F;Maïté;Colinet;chussée de Louvain 621;bouge;19800115
M;Dimitri;Colinet;residence E Donnay, 204;Lisogne;19850428
M;Christian;Collard;Rue Arthur Joseph Piersotte(BU) 33;Saint-Servais;19860514
F;Laure;Collard;route de Viroin, 1;Hanret;19870306
M;Laurent;Collard;rue des ramiers 86;Petigny;19870316
F;Anne-Sophie;Colle;rue E Defraire 66;Doische;19921228
M;Lorent;Collee;avenue du panorama 5 bte 15;Floreffe;19911118
F;Olivia;Collet;rue du Bucq 9;Nismes;19841206
M;Timon;Collet;Rue de Maquelette(GB) 1;Saint-Servais;19880902
M;Lois;Collet;Rue du Moulin 89;Namur;19911101
F;Sabrina;Collet;rue du lavoir, 5;Champion;19961128
F;Cécile;Collin;Rue De La Ville 4;Namur;19810324
F;Delphine;Collin;rue frère Biéva, 5;Namur;19830604
F;Corine;Collin;Rue Joseph Wanet(VD) 20;Oignies-en-Thiérache;19851231
F;Hélène;Collin;rue du reposoir, 14;Jambes (Namur);19870821
F;Camille;Collyns;allée des bouleaux, 210 D;Eghezée;19830923
F;Elisabeth;COLOMBO;rue désiré sorée 60;Vedrin;19941027
F;Anne;COMPERE;Route de Hannut(GB) 565;Gosselies;19940101
M;Rudi;Conard;Rue Des Ramiers 15;Marchovelette;19860708
F;Marjorie;Constant;pl. St Lambert 9;Nismes;19810715
F;Nelle;Constant;rue des calvaires, 25;Bouge;19831223
F;France;Constant;45 rue Nouri-cortil;Andenne;19881216
F;Charlotte;Contino;Rue Joseph Debehogne(VD) 32;Petite-Chapelle;19890901
F;Charlotte;Coquette;rue Adolphe Goutier 62;Spy;19870430
F;Colette;Corbiau;Rue des Mésanges Bleues(BU) 29;Doische;19850511
F;Nathalie;Corbisier;rue de la croisette 25;Namur;19820901
F;Michèle;Cordier;Rue Sur-les-B¹res, March. 3;Wanze;19910424
F;Kaux;Coria;Rue D'Enhaive29;Saint-Denis-Bovesse;19870109
F;Caroline;Cornelis;chaussée de Louvain;Olloy-sur-Viroin;19880420
M;Marino;Cornet;rue de lafontaine, 3;Namur;19800114
F;Carine;CORNET;Rue du Sanctuaire(BU) 64;Olloy-sur-Viroin;19830324
F;Luna;Cornet;chemin de St heribert 29;Lavaux-Sainte-Anne;19910926
M;Sammy;Cornet;rue de Géronsart 327;Couvin;19930624
M;Fabian;CORNEZ;Rue de Namur, Warisoulx 5;Yvoir;19841120
F;Elodie;Cors;chemin du petit bois 10/32;Namur;19810810
F;Mélanie;Cosse;22 rue de Foret;Namur;19800812
F;Anne;Cosse;domaine des écureuils 14;Frasnes;19900111
M;Loris;Costagana;rue de l'hambraine 14;Namur;19850805
M;Daniel;Coster;rue Périquet, 11;Bouge;19821005
F;Jacqueline;Coulon;La Ravalagne, 4;Lasne;19781201
F;Sylvie;Couly;Rue des Faucons(BU) 19;Bouge;19910607
F;Louise;Coune;Rue De La Jachère 36;Eghezée;19881213
F;Nathalie;Coussemaent;rue Florent Delvaux 15;Bouge;19791006
F;Kiara;Coussement;rue Florent Delvaux 15;Dinant;19791005
F;Wendy;Couture;boulevard de la gare, 24;Bouge;19940323
F;Brigitte;Covolo;Rue De La Fabrique 77;Namur;19920130
F;Louise;Cowez;Les Arsillières 47;Bouge;19870702
M;Jean-François;Crabeck;Boulevard de la Meuse(JB) 44 /0012;Belgrade;19880823
F;Céline;Crapet;rue longue, 15;Nismes;19881022
M;Daniel;Crasset;route de Winenne, 39;Boussu-en-Fagne;19820123
F;Nurjan;Craybeck;18, rue bataillon des canaris;Bouge;19781104
M;Yves;Crespin;Ferme De L'Obligneux 1;Willerzie;19970416
M;Benoît;Croce;rue des rochettes, 3;Yvoir;19821230
F;Chantal;Croonenberghs;Rue Léanne 76;Namur;19980924
M;Arnaud;Cutrona;Rue des Dames Blanches 50 /ET01;Saint-Servais;19890123
M;Sofiane;Cuvelier;rue de la gare, 52;Gembloux;19790130
F;Sabine;Cuvelier;Place St Hubert 7;Couvin;19800520
M;HUGO;Cuvelier;rue de la chapelle, 51;Namur;19911109
F;Paulette;Cybulski;commognes de Loyers 14;Vedrin;19830426
F;Audrina;Da Sylva;boulevard du fort, 32;La Bruyère;19810511
F;Sarah;Dabe;Trieux Des Gouttes,31;Aisemont;19850827
M;Jean-Francois;Dachelet;Rue Des Différents 7;Namur;19870115
F;Wendy;Dachelet;rue Gautier 35;Namur;19900323
M;Jérémie;Dachet;Rue Charles Bouvier(BU) 95;Pesche;19861106
M;Nicolas;Daiche;33, rue de la maladrée;Wierde;19800111
F;Clara;Daiche;reu de Lonzée, 128;Dinant;19891010
M;Olivier;Dal Farra;rue Bemelmans 24;Malonne;19790620
F;Marine;Dalewijn;;Ramillies;19840615
F;Béatrice;Dalle Rive;rue du fourneau 4;Eghezée;19920529
M;Benoit;Dambrain;Herleuvaux, Durnal 5;Champion;20000411
M;Olivier;Danau;Rue de la Sitrée(VD) 37;Baileux;19840604
F;Christiane;Danlos;15 rue Berthelot;Namur;19801010
F;Neslihan;Danlos;Rue de Bèze en Bourgogne(BZ) 51;Namur;19930404
M;Tito;Daphné;Rue Des Combattants 77;Oignies-en-Thiérache;19960805
F;Laurence;Dardenne;rue d'avret, 15;bouge;19780719
